,degree min network-1,degree min network-50,degree min network-100,degree min network-250,degree max network-1,degree max network-50,degree max network-100,degree max network-250,degree av. network-1,degree av. network-50,degree av. network-100,degree av. network-250
2021-06-10,0,0,0,0,2,2,2,12,0.375,0.5,0.5416666666666666,1.2916666666666667
2021-06-11,0,0,0,0,2,2,2,12,0.375,0.5,0.5416666666666666,1.2916666666666667
2021-06-12,0,0,0,0,2,2,2,12,0.375,0.5,0.5416666666666666,1.2916666666666667
2021-06-13,0,0,0,0,2,2,2,12,0.3333333333333333,0.5,0.5416666666666666,1.25
2021-06-14,0,0,0,0,2,2,2,12,0.3333333333333333,0.5,0.5416666666666666,1.25
2021-06-15,0,0,0,0,2,2,2,12,0.375,0.5416666666666666,0.5833333333333334,1.2916666666666667
2021-06-16,0,0,0,0,2,2,2,12,0.375,0.5,0.5833333333333334,1.2916666666666667
2021-06-17,0,0,0,0,2,2,2,12,0.4166666666666667,0.5,0.5833333333333334,1.2916666666666667
2021-06-18,0,0,0,0,2,2,2,12,0.4166666666666667,0.5,0.5833333333333334,1.2916666666666667
2021-06-19,0,0,0,0,2,2,2,12,0.4166666666666667,0.5,0.5833333333333334,1.2916666666666667
2021-06-20,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-21,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-22,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-23,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-24,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-25,0,0,0,0,2,2,2,11,0.375,0.5,0.5833333333333334,1.25
2021-06-26,0,0,0,0,2,2,2,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-06-27,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-06-28,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-06-29,0,0,0,0,2,2,2,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-06-30,0,0,0,0,2,2,2,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-07-01,0,0,0,0,2,2,2,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-07-02,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-07-03,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-07-04,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-07-05,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-07-06,0,0,0,0,2,2,2,11,0.2916666666666667,0.5,0.5833333333333334,1.25
2021-07-07,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5833333333333334,1.25
2021-07-08,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5833333333333334,1.25
2021-07-09,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5833333333333334,1.25
2021-07-10,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5833333333333334,1.25
2021-07-11,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-12,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-13,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-14,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-15,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-16,0,0,0,0,2,2,2,11,0.2916666666666667,0.4583333333333333,0.5416666666666666,1.25
2021-07-17,0,0,0,0,3,3,3,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-07-18,0,0,0,0,3,3,3,11,0.3333333333333333,0.5,0.5833333333333334,1.25
2021-07-19,0,0,0,0,3,3,3,11,0.3333333333333333,0.5,0.5833333333333334,1.2083333333333333
2021-07-20,0,0,0,0,3,3,3,11,0.3333333333333333,0.5,0.5833333333333334,1.2083333333333333
2021-07-21,0,0,0,0,2,3,3,11,0.2916666666666667,0.5,0.5833333333333334,1.2083333333333333
2021-07-22,0,0,0,0,3,3,3,11,0.3333333333333333,0.5,0.5833333333333334,1.2083333333333333
2021-07-23,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-24,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-25,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-26,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
2021-07-27,0,0,0,0,3,3,3,11,0.3333333333333333,0.4583333333333333,0.5833333333333334,1.2083333333333333
