,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-09-22,0.9485530546623794,0.7489270386266095,0.6140350877192983,0.003898635477582846
2016-09-23,0.980327868852459,0.75,0.6159844054580896,0.003898635477582846
2016-09-24,0.9702970297029703,0.7521551724137931,0.6257309941520468,0.003898635477582846
2016-09-25,0.9696969696969697,0.7592190889370932,0.6276803118908382,0.003898635477582846
2016-09-26,0.9930555555555556,0.7592190889370932,0.6335282651072125,0.003898635477582846
2016-09-27,0.9761092150170648,0.755939524838013,0.6310679611650486,0.005825242718446602
2016-09-28,0.9435215946843853,0.7564655172413793,0.6330097087378641,0.005825242718446602
2016-09-29,0.9473684210526315,0.7553648068669528,0.6312741312741312,0.005791505791505791
2016-09-30,0.9477124183006536,0.7521367521367521,0.6326923076923077,0.0057692307692307696
2016-10-01,0.9572368421052632,0.7612903225806451,0.6346153846153846,0.0057692307692307696
2016-10-02,0.9464882943143813,0.7629310344827587,0.6365384615384615,0.0057692307692307696
2016-10-03,0.9929328621908127,0.7645788336933045,0.6423076923076924,0.009615384615384616
2016-10-04,0.9656357388316151,0.7683982683982684,0.6372360844529751,0.013435700575815739
2016-10-05,0.9531772575250836,0.7662337662337663,0.6372360844529751,0.013435700575815739
2016-10-06,0.9727891156462585,0.7680525164113785,0.6333973128598849,0.013435700575815739
2016-10-07,0.9461279461279462,0.7685589519650655,0.6417624521072797,0.013409961685823755
2016-10-08,0.9863481228668942,0.7714285714285715,0.6436781609195402,0.013409961685823755
2016-10-09,0.9725085910652921,0.7704194260485652,0.6494252873563219,0.01532567049808429
2016-10-10,0.9893992932862191,0.77728285077951,0.6666666666666666,0.01532567049808429
2016-10-11,0.9722222222222222,0.77728285077951,0.6666666666666666,0.01532567049808429
2016-10-12,0.9627118644067797,0.7777777777777778,0.6653919694072657,0.017208413001912046
2016-10-13,0.9632107023411371,0.7688888888888888,0.6647619047619048,0.017142857142857144
2016-10-14,0.9602649006622517,0.7683741648106904,0.6704761904761904,0.017142857142857144
2016-10-15,0.9832775919732442,0.78125,0.6742857142857143,0.017142857142857144
2016-10-16,0.9764309764309764,0.7825112107623319,0.6857142857142857,0.017142857142857144
2016-10-17,0.9896551724137931,0.7842696629213484,0.6914285714285714,0.017142857142857144
2016-10-18,0.9630872483221476,0.7847533632286996,0.6901140684410646,0.017110266159695818
2016-10-19,0.9701986754966887,0.7762863534675615,0.6901140684410646,0.017077798861480076
