report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
8026,36023175032.17,609335852.54,44800000.0,813550000.0,30894170314.089996,0.0,0.0,0.0,0.016915106788778084,0.001243643847606214,0.02258407259419722,0.8576193044200126,0.0,0.0,0.0
2633,10868904000.0,323245000.0,3624938000.0,112257000.0,6820095000.0,985709000.0,0.0,0.0,0.0297403491649204,0.33351458435919573,0.010328272289459912,0.6274869112837872,0.09069074489939372,0.0,0.0
7975,43095669996.44,390882090.23,0.0,783789049.8,38897928199.09,32599636.37,0.0,0.0,0.009070101248275977,0.0,0.018187187944049745,0.9025948129429994,0.0007564480694392953,0.0,0.0
7601,57370635000.0,465310000.0,0.0,2611730000.0,50030510000.0,436000.0,0.0,0.0,0.008110595254872113,0.0,0.045523811964082325,0.8720578044848205,7.5997067140707085e-06,0.0,0.0
14413,313218239000.0,7028776000.0,0.0,5714956000.0,218716556000.0,1820660000.0,9.073049826370424,9.933751048897252,0.022440506729239352,0.0,0.018245923411886623,0.6982880585060693,0.005812752175009834,2.8967182292249667e-11,3.171511046295504e-11
8564,67790880000.0,887359000.0,0.0,881288000.0,59187388000.0,175515000.0,0.0,0.0,0.013089651587352162,0.0,0.013000096768178846,0.8730877663780142,0.002589065077780374,0.0,0.0
10212,2485749000.0,36941000.0,0.0,67498000.0,2259826000.0,31807000.0,0.0,0.0,0.014861114295932534,0.0,0.027153988596596037,0.9091127060696796,0.012795740841090553,0.0,0.0
7144,24147933000.0,157886000.0,0.0,695962000.0,21439396000.0,269522000.0,0.0,0.0,0.006538282179265612,0.0,0.028820769048845712,0.8878356586462286,0.011161286558149719,0.0,0.0
2884,7863196000.0,577251000.0,0.0,44818000.0,6107645000.0,0.0,0.0,0.0,0.073411752676647,0.0,0.005699718028140212,0.7767382372256777,0.0,0.0,0.0
14443,107478000.0,7404000.0,0.0,2441000.0,93803000.0,0.0,0.0,0.0,0.06888851671970078,0.0,0.02271162470459071,0.8727646588138968,0.0,0.0,0.0
