,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2017-01-20,,11339947.071102513,1551.0
2017-01-21,,11816128.26825269,1116.0
2017-01-22,,12690613.151312595,1318.0
2017-01-23,,13861697.164323144,1145.0
2017-01-24,,20012579.797025997,1577.0
2017-01-25,,13462151.451055048,1090.0
2017-01-26,,11318063.265496181,1179.0
2017-01-27,,14489559.207232142,1120.0
2017-01-28,,10588282.612916667,1368.0
2017-01-29,12.170992573665153,10378203.196517544,1140.0
2017-01-30,9.302419537440247,16264419.402864583,960.0
2017-01-31,,15006307.904935401,1161.0
2017-02-01,24.010085239877093,11879959.243895704,978.0
2017-02-02,,12124963.572679803,1015.0
2017-02-03,,12672953.388198925,1116.0
2017-02-04,,11553981.88103753,906.0
2017-02-05,4.417132732287178,11827284.895194804,924.0
2017-02-06,,8714856.635022124,904.0
2017-02-07,,9614888.273912568,915.0
2017-02-08,11.952061073194269,6442840.00524403,963.0
2017-02-09,,11913297.732997948,974.0
2017-02-10,,12184068.93476492,1106.0
2017-02-11,15.445935646004314,13340023.175916921,987.0
2017-02-12,,10588501.504084995,1153.0
2017-02-13,,9752509.225846479,951.0
2017-02-14,,7853200.6350300005,1000.0
2017-02-15,14.20353666019399,9270586.59925544,873.0
2017-02-16,21.130574521356678,14477237.320087548,1028.0
2017-02-17,,12767707.2904371,938.0
2017-02-18,,12641195.301872017,1047.0
2017-02-19,,7411220.708386385,3173.0
2017-02-20,,7633213.421472501,3382.0
2017-02-21,,11419141.491186613,986.0
2017-02-22,,11366151.229488188,1016.0
2017-02-23,,10305965.894629467,1147.0
2017-02-24,,9947668.877368985,935.0
2017-02-25,,12058376.569466667,1200.0
2017-02-26,,11864286.37210167,1318.0
2017-02-27,,12114366.648114674,1029.0
2017-02-28,,9179540.488454545,2090.0
2017-03-01,,8754663.285260087,2057.0
2017-03-02,,11015596.701291513,1084.0
2017-03-03,,6905380.547557252,1048.0
2017-03-04,,13153786.18164696,1184.0
2017-03-05,,7742532.481023569,1485.0
2017-03-06,,12448444.47313811,1144.0
2017-03-07,,9191641.157460734,1146.0
2017-03-08,,9505778.597192643,1033.0
2017-03-09,,9254743.330571696,1067.0
2017-03-10,,9249544.927737374,990.0
2017-03-11,,9765191.612360986,1097.0
2017-03-12,,11077915.810557738,1273.0
2017-03-13,,9429038.969275486,1187.0
2017-03-14,,11410101.991292575,1145.0
2017-03-15,,7943665.994909718,1163.0
2017-03-16,,10743578.675542358,1263.0
2017-03-17,,8314930.145017824,1122.0
2017-03-18,,7425566.128234713,1014.0
2017-03-19,,10804827.511421755,1048.0
2017-03-20,12.64715103400854,8510771.724135337,1064.0
2017-03-21,,11005178.13600844,1185.0
2017-03-22,,11079108.57386617,1076.0
2017-03-23,,11249143.284925109,1135.0
2017-03-24,,8704703.830383277,1148.0
2017-03-25,,6740612.7743072575,1061.0
2017-03-26,,9489858.033108948,1129.0
2017-03-27,,10203059.553603133,1149.0
2017-03-28,,6602850.231546099,1410.0
2017-03-29,,8812677.257495575,1130.0
2017-03-30,,8652018.894833198,1229.0
2017-03-31,,8484926.491247788,1130.0
2017-04-01,,9878615.711921599,1301.0
2017-04-02,,8524859.175781948,1119.0
2017-04-03,,7338598.337217099,1193.0
2017-04-04,,6754434.50546729,1070.0
2017-04-05,,7485177.61656051,1099.0
2017-04-06,,9155342.352079002,962.0
2017-04-07,,7266408.770009158,1092.0
2017-04-08,,6415632.38110999,991.0
2017-04-09,,5895843.1924254475,1006.0
2017-04-10,,9889474.8027163,994.0
2017-04-11,,6901860.740883813,1007.0
2017-04-12,,8315100.7792772185,1093.0
2017-04-13,,10788843.744416848,926.0
2017-04-14,14.161821688248773,12636199.369299145,1170.0
2017-04-15,,10331118.398238994,1113.0
2017-04-16,,7595109.439527972,1144.0
2017-04-17,,8265860.99007435,1076.0
2017-04-18,,9204952.475028956,1036.0
2017-04-19,,10765155.81767945,1017.0
2017-04-20,,9753887.08988372,1032.0
2017-04-21,,9198196.664980315,1016.0
2017-04-22,,9623431.306160714,1008.0
2017-04-23,,9307435.616002025,988.0
2017-04-24,29.3664550211154,9534987.82572165,970.0
2017-04-25,,10477579.144234974,1098.0
2017-04-26,,12152682.017099338,755.0
2017-04-27,,10285754.385565326,796.0
2017-04-28,,17355366.93039627,858.0
2017-04-29,,12554147.245531062,998.0
2017-04-30,6.1319609512462305,12999790.944986302,730.0
2017-05-01,,12345720.694247892,831.0
2017-05-02,,12189547.36819693,782.0
2017-05-03,,11921370.483400213,947.0
2017-05-04,17.31472677759289,11566967.040126583,948.0
2017-05-05,,11735400.84263676,914.0
2017-05-06,,13115283.428438818,948.0
